SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-6.M2-8.M3-17	2451	1507	28	0	18	1	5701	13	1.12948769665	0.0
M1-6.M2-8.M3-15	2448	1507	31	0	14	0	5705	14	1.25050423558	0.0
M1-6.M2-8.M3-11	2450	1507	29	0	14	1	5705	13	1.16982654296	0.0
M1-6.M2-8.M3-12	2447	1507	32	0	16	0	5703	14	1.29084308189	0.0
M1-6.M2-8.M3-13	2455	1507	24	0	18	1	5701	13	0.968132311416	0.0
M1-6.M2-8.M3-4	2428	1507	51	0	18	0	5701	14	2.05728116176	0.0
M1-6.M2-8.M3-8	2450	1507	29	0	15	0	5704	14	1.16982654296	0.0
M1-6.M2-8.M3-9	2453	1507	26	0	15	0	5704	14	1.04881000403	0.0
M1-6.M2-8.M3-1	2424	1507	55	0	16	0	5703	14	2.21863654699	0.0
M1-6.M2-8.M3-6	2409	1507	70	0	16	0	5703	14	2.82371924163	0.0
M1-6.M2-8.M3-14	2454	1507	25	0	17	1	5702	13	1.00847115772	0.0
M1-6.M2-8.M3-16	2457	1507	22	0	18	1	5701	13	0.887454618798	0.0
M1-6.M2-8.M3-2	2425	1507	54	0	17	0	5702	14	2.17829770069	0.0
M1-6.M2-8.M3-18	2453	1507	26	0	16	0	5703	14	1.04881000403	0.0
M1-6.M2-8.M3-3	2431	1507	48	0	16	0	5703	14	1.93626462283	0.0
M1-6.M2-8.M3-7	2454	1507	25	0	17	0	5702	14	1.00847115772	0.0
M1-6.M2-8.M3-10	2450	1507	29	0	21	1	5698	13	1.16982654296	0.0
M1-6.M2-8.M3-5	2422	1507	57	0	15	0	5704	14	2.29931423961	0.0
M1-6.M2-9.M3-17	2465	1508	30	0	4	0	5699	13	1.20240480962	0.0
M1-6.M2-9.M3-15	2459	1507	36	1	3	0	5700	13	1.44288577154	0.0663129973475
M1-6.M2-9.M3-11	2461	1508	34	0	3	0	5700	13	1.3627254509	0.0
M1-6.M2-9.M3-12	2458	1507	37	1	5	0	5698	13	1.48296593186	0.0663129973475
M1-6.M2-9.M3-13	2469	1508	26	0	4	0	5699	13	1.04208416834	0.0
M1-6.M2-9.M3-4	2442	1507	53	1	4	0	5699	13	2.12424849699	0.0663129973475
M1-6.M2-9.M3-8	2462	1507	33	1	3	0	5700	13	1.32264529058	0.0663129973475
M1-6.M2-9.M3-9	2464	1507	31	1	4	0	5699	13	1.24248496994	0.0663129973475
M1-6.M2-9.M3-1	2436	1507	59	1	4	0	5699	13	2.36472945892	0.0663129973475
M1-6.M2-9.M3-6	2421	1507	74	1	4	0	5699	13	2.96593186373	0.0663129973475
M1-6.M2-9.M3-14	2467	1508	28	0	4	0	5699	13	1.12224448898	0.0
M1-6.M2-9.M3-16	2471	1508	24	0	4	0	5699	13	0.961923847695	0.0
M1-6.M2-9.M3-2	2438	1507	57	1	4	0	5699	13	2.28456913828	0.0663129973475
M1-6.M2-9.M3-18	2465	1507	30	1	4	0	5699	13	1.20240480962	0.0663129973475
M1-6.M2-9.M3-3	2443	1507	52	1	4	0	5699	13	2.08416833667	0.0663129973475
M1-6.M2-9.M3-7	2467	1507	28	1	4	0	5699	13	1.12224448898	0.0663129973475
M1-6.M2-9.M3-10	2467	1508	28	0	4	0	5699	13	1.12224448898	0.0
M1-6.M2-9.M3-5	2433	1507	62	1	4	0	5699	13	2.48496993988	0.0663129973475
M1-6.M2-12.M3-17	2461	1508	29	0	8	0	5700	13	1.16465863454	0.0
M1-6.M2-12.M3-15	2457	1507	33	1	5	0	5703	13	1.32530120482	0.0663129973475
M1-6.M2-12.M3-11	2459	1508	31	0	5	0	5703	13	1.24497991968	0.0
M1-6.M2-12.M3-12	2456	1507	34	1	7	0	5701	13	1.36546184739	0.0663129973475
M1-6.M2-12.M3-13	2466	1508	24	0	7	0	5701	13	0.963855421687	0.0
M1-6.M2-12.M3-4	2438	1507	52	1	8	0	5700	13	2.08835341365	0.0663129973475
M1-6.M2-12.M3-8	2459	1507	31	1	6	0	5702	13	1.24497991968	0.0663129973475
