#MUT	V1-HET	V1-HOM	V2-HET	V2-HOM	V3-HET	V3-HOM	V4-HET	V4-HOM	V5-HET	V5-HOM
M1-1	0.04	0.08	0.01	0.02	0	0	0	0	0	0
M1-2	0.04	0.08	0.03	0.06	0	0	0	0	0	0
M1-3	0.04	0.08	0.25	0.5	0	0	0	0	0	0
M1-4	0.096	0.192	0.01	0.02	0	0	0	0	0	0
M1-5	0.096	0.192	0.03	0.06	0	0	0	0	0	0
M1-6	0.096	0.192	0.25	0.5	0	0	0	0	0	0
M1-7	0.28	0.56	0.01	0.02	0	0	0	0	0	0
M1-8	0.28	0.56	0.03	0.06	0	0	0	0	0	0
M1-9	0.04	0.08	0.005	0.01	0	0	0	0	0	0
M2-1	0.04	0.08	0	0	0.05	0.1	0.005	0.01	0	0
M2-2	0.04	0.08	0	0	0.05	0.1	0.03	0.06	0	0
M2-3	0.04	0.08	0	0	0.08	0.16	0.005	0.01	0	0
M2-4	0.04	0.08	0	0	0.08	0.16	0.03	0.06	0	0
M2-5	0.096	0.192	0	0	0.05	0.1	0.005	0.01	0	0
M2-6	0.096	0.192	0	0	0.05	0.1	0.03	0.06	0	0
M2-7	0.096	0.192	0	0	0.08	0.16	0.005	0.01	0	0
M2-8	0.096	0.192	0	0	0.08	0.16	0.03	0.06	0	0
M2-9	0.28	0.56	0	0	0.05	0.1	0.005	0.01	0	0
M2-10	0.28	0.56	0	0	0.05	0.1	0.03	0.06	0	0
M2-11	0.28	0.56	0	0	0.08	0.16	0.005	0.01	0	0
M2-12	0.28	0.56	0	0	0.08	0.16	0.03	0.06	0	0
M3-1	0.04	0.08	0	0	0.075	0.15	0	0	0.01	0.02
M3-2	0.04	0.08	0	0	0.075	0.15	0	0	0.02	0.04
M3-3	0.04	0.08	0	0	0.075	0.15	0	0	0.04	0.08
M3-4	0.04	0.08	0	0	0.12	0.24	0	0	0.01	0.02
M3-5	0.04	0.08	0	0	0.12	0.24	0	0	0.02	0.04
M3-6	0.04	0.08	0	0	0.12	0.24	0	0	0.04	0.08
M3-7	0.096	0.192	0	0	0.075	0.15	0	0	0.01	0.02
M3-8	0.096	0.192	0	0	0.075	0.15	0	0	0.02	0.04
M3-9	0.096	0.192	0	0	0.075	0.15	0	0	0.04	0.08
M3-10	0.096	0.192	0	0	0.16	0.32	0	0	0.01	0.02
M3-11	0.096	0.192	0	0	0.16	0.32	0	0	0.02	0.04
M3-12	0.096	0.192	0	0	0.16	0.32	0	0	0.04	0.08
M3-13	0.28	0.56	0	0	0.1	0.2	0	0	0.01	0.02
M3-14	0.28	0.56	0	0	0.1	0.2	0	0	0.02	0.04
M3-15	0.28	0.56	0	0	0.1	0.2	0	0	0.04	0.08
M3-16	0.28	0.56	0	0	0.16	0.32	0	0	0.01	0.02
M3-17	0.28	0.56	0	0	0.16	0.32	0	0	0.02	0.04
M3-18	0.28	0.56	0	0	0.16	0.32	0	0	0.04	0.08
