SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-3.M2-8.M3-8	1991	1509	33	0	48	0	5701	16	1.63043478261	0.0
M1-3.M2-8.M3-9	1982	1508	42	1	42	1	5707	15	2.07509881423	0.0662690523526
M1-3.M2-8.M3-18	1999	1509	25	0	50	0	5699	16	1.23517786561	0.0
M1-3.M2-8.M3-15	2001	1509	23	0	50	0	5699	16	1.13636363636	0.0
M1-3.M2-8.M3-11	1988	1508	36	1	45	0	5704	16	1.77865612648	0.0662690523526
M1-3.M2-8.M3-7	2000	1509	24	0	46	0	5703	16	1.18577075099	0.0
M1-3.M2-8.M3-17	1999	1509	25	0	49	0	5700	16	1.23517786561	0.0
M1-3.M2-8.M3-4	1699	1509	325	0	25	0	5724	16	16.057312253	0.0
M1-3.M2-8.M3-16	2014	1509	10	0	48	0	5701	16	0.494071146245	0.0
M1-3.M2-8.M3-10	1990	1509	34	0	39	0	5710	16	1.67984189723	0.0
M1-3.M2-8.M3-1	1763	1509	261	0	30	0	5719	16	12.895256917	0.0
M1-3.M2-8.M3-5	1651	1509	373	0	20	0	5729	16	18.4288537549	0.0
M1-3.M2-8.M3-14	2009	1509	15	0	50	0	5699	16	0.741106719368	0.0
M1-3.M2-8.M3-12	1980	1509	44	0	43	0	5706	16	2.17391304348	0.0
M1-3.M2-8.M3-13	2011	1509	13	0	48	0	5701	16	0.642292490119	0.0
M1-3.M2-8.M3-6	1625	1509	399	0	22	0	5727	16	19.7134387352	0.0
M1-3.M2-8.M3-2	1710	1509	314	0	32	0	5717	16	15.5138339921	0.0
M1-3.M2-8.M3-3	1692	1509	332	0	30	0	5719	16	16.4031620553	0.0
M1-3.M2-7.M3-8	1999	1509	32	0	40	0	5702	16	1.57557853274	0.0
M1-3.M2-7.M3-9	1985	1508	46	1	39	1	5703	15	2.26489414082	0.0662690523526
M1-3.M2-7.M3-18	2007	1509	24	0	42	0	5700	16	1.18168389956	0.0
M1-3.M2-7.M3-15	2008	1509	23	0	43	0	5699	16	1.13244707041	0.0
M1-3.M2-7.M3-11	1995	1508	36	1	38	0	5704	16	1.77252584934	0.0662690523526
M1-3.M2-7.M3-7	2004	1509	27	0	42	0	5700	16	1.329394387	0.0
M1-3.M2-7.M3-17	2006	1509	25	0	42	0	5700	16	1.23092072871	0.0
M1-3.M2-7.M3-4	1697	1509	334	0	27	0	5715	16	16.4451009355	0.0
M1-3.M2-7.M3-16	2020	1509	11	0	42	0	5700	16	0.54160512063	0.0
M1-3.M2-7.M3-10	1993	1509	38	0	36	0	5706	16	1.87099950763	0.0
M1-3.M2-7.M3-1	1765	1509	266	0	28	0	5714	16	13.0969965534	0.0
M1-3.M2-7.M3-5	1650	1509	381	0	21	0	5721	16	18.7592319055	0.0
M1-3.M2-7.M3-14	2015	1509	16	0	44	0	5698	16	0.787789266371	0.0
M1-3.M2-7.M3-12	1985	1509	46	0	38	0	5704	16	2.26489414082	0.0
M1-3.M2-7.M3-13	2017	1509	14	0	42	0	5700	16	0.689315608075	0.0
M1-3.M2-7.M3-6	1628	1509	403	0	19	0	5723	16	19.8424421467	0.0
M1-3.M2-7.M3-2	1718	1509	313	0	24	0	5718	16	15.4111275234	0.0
M1-3.M2-7.M3-3	1698	1509	333	0	24	0	5718	16	16.3958641064	0.0
M1-3.M2-1.M3-8	1545	1509	22	0	494	0	5712	16	1.40395660498	0.0
M1-3.M2-1.M3-9	1535	1508	32	1	489	1	5717	15	2.04211869815	0.0662690523526
M1-3.M2-1.M3-18	1547	1509	20	0	502	0	5704	16	1.27632418634	0.0
M1-3.M2-1.M3-15	1548	1509	19	0	503	0	5703	16	1.21250797703	0.0
M1-3.M2-1.M3-11	1548	1508	19	1	485	0	5721	16	1.21250797703	0.0662690523526
M1-3.M2-1.M3-7	1550	1509	17	0	496	0	5710	16	1.08487555839	0.0
M1-3.M2-1.M3-17	1547	1509	20	0	501	0	5705	16	1.27632418634	0.0
M1-3.M2-1.M3-4	1363	1509	204	0	361	0	5845	16	13.0185067007	0.0
M1-3.M2-1.M3-16	1558	1509	9	0	504	0	5702	16	0.574345883854	0.0
M1-3.M2-1.M3-10	1551	1509	16	0	478	0	5728	16	1.02105934907	0.0
M1-3.M2-1.M3-1	1420	1509	147	0	373	0	5833	16	9.38098276962	0.0
M1-3.M2-1.M3-5	1337	1509	230	0	334	0	5872	16	14.6777281429	0.0
M1-3.M2-1.M3-14	1554	1509	13	0	505	0	5701	16	0.829610721123	0.0
M1-3.M2-1.M3-12	1535	1509	32	0	488	0	5718	16	2.04211869815	0.0
M1-3.M2-1.M3-13	1554	1509	13	0	505	0	5701	16	0.829610721123	0.0
M1-3.M2-1.M3-6	1332	1509	235	0	315	0	5891	16	14.9968091895	0.0
M1-3.M2-1.M3-2	1399	1509	168	0	343	0	5863	16	10.7211231653	0.0
M1-3.M2-1.M3-3	1362	1509	205	0	360	0	5846	16	13.08232291	0.0
M1-3.M2-11.M3-8	2036	1509	34	0	3	0	5700	16	1.64251207729	0.0
M1-3.M2-11.M3-9	2022	1508	48	1	2	1	5701	15	2.31884057971	0.0662690523526
M1-3.M2-11.M3-18	2046	1509	24	0	3	0	5700	16	1.15942028986	0.0
M1-3.M2-11.M3-15	2048	1509	22	0	3	0	5700	16	1.06280193237	0.0
M1-3.M2-11.M3-11	2030	1508	40	1	3	0	5700	16	1.93236714976	0.0662690523526
M1-3.M2-11.M3-7	2042	1509	28	0	4	0	5699	16	1.35265700483	0.0
M1-3.M2-11.M3-17	2045	1509	25	0	3	0	5700	16	1.2077294686	0.0
M1-3.M2-11.M3-4	1722	1509	348	0	2	0	5701	16	16.8115942029	0.0
M1-3.M2-11.M3-16	2060	1509	10	0	2	0	5701	16	0.48309178744	0.0
M1-3.M2-11.M3-10	2028	1509	42	0	1	0	5702	16	2.02898550725	0.0
M1-3.M2-11.M3-1	1789	1509	281	0	4	0	5699	16	13.5748792271	0.0
M1-3.M2-11.M3-5	1667	1509	403	0	4	0	5699	16	19.4685990338	0.0
M1-3.M2-11.M3-14	2055	1509	15	0	4	0	5699	16	0.724637681159	0.0
M1-3.M2-11.M3-12	2021	1509	49	0	2	0	5701	16	2.36714975845	0.0
M1-3.M2-11.M3-13	2057	1509	13	0	2	0	5701	16	0.628019323671	0.0
M1-3.M2-11.M3-6	1644	1509	426	0	3	0	5700	16	20.5797101449	0.0
M1-3.M2-11.M3-2	1739	1509	331	0	3	0	5700	16	15.9903381643	0.0
M1-3.M2-11.M3-3	1718	1509	352	0	4	0	5699	16	17.0048309179	0.0
M1-3.M2-12.M3-8	2033	1509	34	0	6	0	5700	16	1.64489598452	0.0
M1-3.M2-12.M3-9	2019	1508	48	1	5	1	5701	15	2.32220609579	0.0662690523526
M1-3.M2-12.M3-18	2043	1509	24	0	6	0	5700	16	1.1611030479	0.0
M1-3.M2-12.M3-15	2045	1509	22	0	6	0	5700	16	1.06434446057	0.0
M1-3.M2-12.M3-11	2027	1508	40	1	6	0	5700	16	1.93517174649	0.0662690523526
M1-3.M2-12.M3-7	2039	1509	28	0	7	0	5699	16	1.35462022254	0.0
M1-3.M2-12.M3-17	2042	1509	25	0	6	0	5700	16	1.20948234156	0.0
M1-3.M2-12.M3-4	1718	1509	349	0	6	0	5700	16	16.8843734881	0.0
M1-3.M2-12.M3-16	2056	1509	11	0	6	0	5700	16	0.532172230285	0.0
M1-3.M2-12.M3-10	2024	1509	43	0	5	0	5701	16	2.08030962748	0.0
M1-3.M2-12.M3-1	1787	1509	280	0	6	0	5700	16	13.5462022254	0.0
M1-3.M2-12.M3-5	1665	1509	402	0	6	0	5700	16	19.4484760522	0.0
M1-3.M2-12.M3-14	2052	1509	15	0	7	0	5699	16	0.725689404935	0.0
M1-3.M2-12.M3-12	2018	1509	49	0	5	0	5701	16	2.37058538945	0.0
M1-3.M2-12.M3-13	2053	1509	14	0	6	0	5700	16	0.677310111272	0.0
M1-3.M2-12.M3-6	1642	1509	425	0	5	0	5701	16	20.5611998065	0.0
M1-3.M2-12.M3-2	1735	1509	332	0	7	0	5699	16	16.0619254959	0.0
M1-3.M2-12.M3-3	1715	1509	352	0	7	0	5699	16	17.0295113691	0.0
M1-3.M2-2.M3-8	1666	1509	25	0	373	0	5709	16	1.47841513897	0.0
M1-3.M2-2.M3-9	1659	1508	32	1	365	1	5717	15	1.89237137788	0.0662690523526
M1-3.M2-2.M3-18	1672	1509	19	0	377	0	5705	16	1.12359550562	0.0
M1-3.M2-2.M3-15	1672	1509	19	0	379	0	5703	16	1.12359550562	0.0
M1-3.M2-2.M3-11	1667	1508	24	1	366	0	5716	16	1.41927853341	0.0662690523526
M1-3.M2-2.M3-7	1677	1509	14	0	369	0	5713	16	0.827912477824	0.0
M1-3.M2-2.M3-17	1670	1509	21	0	378	0	5704	16	1.24186871674	0.0
M1-3.M2-2.M3-4	1458	1509	233	0	266	0	5816	16	13.7788290952	0.0
M1-3.M2-2.M3-16	1684	1509	7	0	378	0	5704	16	0.413956238912	0.0
M1-3.M2-2.M3-10	1668	1509	23	0	361	0	5721	16	1.36014192785	0.0
M1-3.M2-2.M3-1	1521	1509	170	0	272	0	5810	16	10.053222945	0.0
M1-3.M2-2.M3-5	1418	1509	273	0	253	0	5829	16	16.1442933176	0.0
M1-3.M2-2.M3-14	1678	1509	13	0	381	0	5701	16	0.768775872265	0.0
M1-3.M2-2.M3-12	1662	1509	29	0	361	0	5721	16	1.71496156121	0.0
M1-3.M2-2.M3-13	1679	1509	12	0	380	0	5702	16	0.709639266706	0.0
M1-3.M2-2.M3-6	1415	1509	276	0	232	0	5850	16	16.3217031342	0.0
M1-3.M2-2.M3-2	1466	1509	225	0	276	0	5806	16	13.3057362507	0.0
M1-3.M2-2.M3-3	1449	1509	242	0	273	0	5809	16	14.3110585452	0.0
M1-3.M2-5.M3-8	2016	1509	32	0	23	0	5702	16	1.5625	0.0
M1-3.M2-5.M3-9	2002	1508	46	1	22	1	5703	15	2.24609375	0.0662690523526
M1-3.M2-5.M3-18	2024	1509	24	0	25	0	5700	16	1.171875	0.0
M1-3.M2-5.M3-15	2026	1509	22	0	25	0	5700	16	1.07421875	0.0
M1-3.M2-5.M3-11	2011	1508	37	1	22	0	5703	16	1.806640625	0.0662690523526
M1-3.M2-5.M3-7	2022	1509	26	0	24	0	5701	16	1.26953125	0.0
M1-3.M2-5.M3-17	2023	1509	25	0	25	0	5700	16	1.220703125	0.0
M1-3.M2-5.M3-4	1713	1509	335	0	11	0	5714	16	16.357421875	0.0
M1-3.M2-5.M3-16	2038	1509	10	0	24	0	5701	16	0.48828125	0.0
M1-3.M2-5.M3-10	2007	1509	41	0	22	0	5703	16	2.001953125	0.0
M1-3.M2-5.M3-1	1779	1509	269	0	14	0	5711	16	13.134765625	0.0
M1-3.M2-5.M3-5	1656	1509	392	0	15	0	5710	16	19.140625	0.0
M1-3.M2-5.M3-14	2033	1509	15	0	26	0	5699	16	0.732421875	0.0
M1-3.M2-5.M3-12	2000	1509	48	0	23	0	5702	16	2.34375	0.0
M1-3.M2-5.M3-13	2034	1509	14	0	25	0	5700	16	0.68359375	0.0
M1-3.M2-5.M3-6	1635	1509	413	0	12	0	5713	16	20.166015625	0.0
M1-3.M2-5.M3-2	1724	1509	324	0	18	0	5707	16	15.8203125	0.0
M1-3.M2-5.M3-3	1709	1509	339	0	13	0	5712	16	16.552734375	0.0
M1-3.M2-9.M3-8	2035	1509	33	0	4	0	5701	16	1.59574468085	0.0
