tool	range	PC	TP	FP	Sensitivity	Precision	F1-score
MF	5:5	3	1	0	0.3333333333333333	1.0	0.5
MF	10:5	7	2	0	0.2857142857142857	1.0	0.4444444444444444
MF	10:10	0	0	0	None	None	None
MF	25:5	9	4	0	0.4444444444444444	1.0	0.6153846153846154
MF	25:10	4	3	0	0.75	1.0	0.8571428571428572
MF	25:25	4	1	0	0.25	1.0	0.4
MF	90:5	0	0	0	None	None	None
MF	90:10	0	0	0	None	None	None
MF	90:25	1	1	0	1.0	1.0	1.0
MF	90:90	0	0	0	None	None	None
MT2	5:5	3	0	0	0.0	None	None
MT2	10:5	7	3	0	0.42857142857142855	1.0	0.6
MT2	10:10	0	0	0	None	None	None
MT2	25:5	9	4	0	0.4444444444444444	1.0	0.6153846153846154
MT2	25:10	4	4	0	1.0	1.0	1.0
MT2	25:25	4	3	0	0.75	1.0	0.8571428571428572
MT2	90:5	0	0	0	None	None	None
MT2	90:10	0	0	0	None	None	None
MT2	90:25	1	1	0	1.0	1.0	1.0
MT2	90:90	0	0	0	None	None	None
DM	5:5	3	1	0	0.3333333333333333	1.0	0.5
DM	10:5	7	3	0	0.42857142857142855	1.0	0.6
DM	10:10	0	0	0	None	None	None
DM	25:5	9	3	0	0.3333333333333333	1.0	0.5
DM	25:10	4	2	0	0.5	1.0	0.6666666666666666
DM	25:25	4	2	0	0.5	1.0	0.6666666666666666
DM	90:5	0	0	0	None	None	None
DM	90:10	0	0	0	None	None	None
DM	90:25	1	1	0	1.0	1.0	1.0
DM	90:90	0	0	0	None	None	None
HCp20	5:5	3	0	0	0.0	None	None
HCp20	10:5	7	0	0	0.0	None	None
HCp20	10:10	0	0	0	None	None	None
HCp20	25:5	9	0	0	0.0	None	None
HCp20	25:10	4	0	0	0.0	None	None
HCp20	25:25	4	4	0	1.0	1.0	1.0
HCp20	90:5	0	0	0	None	None	None
HCp20	90:10	0	0	0	None	None	None
HCp20	90:25	1	1	0	1.0	1.0	1.0
HCp20	90:90	0	0	0	None	None	None
HCp200	5:5	3	0	0	0.0	None	None
HCp200	10:5	7	0	0	0.0	None	None
HCp200	10:10	0	0	0	None	None	None
HCp200	25:5	9	0	0	0.0	None	None
HCp200	25:10	4	0	0	0.0	None	None
HCp200	25:25	4	4	0	1.0	1.0	1.0
HCp200	90:5	0	0	0	None	None	None
HCp200	90:10	0	0	0	None	None	None
HCp200	90:25	1	1	0	1.0	1.0	1.0
HCp200	90:90	0	0	0	None	None	None
MH	5:5	3	0	0	0.0	None	None
MH	10:5	7	2	0	0.2857142857142857	1.0	0.4444444444444444
MH	10:10	0	0	0	None	None	None
MH	25:5	9	1	0	0.1111111111111111	1.0	0.2
MH	25:10	4	2	0	0.5	1.0	0.6666666666666666
MH	25:25	4	3	0	0.75	1.0	0.8571428571428572
MH	90:5	0	0	0	None	None	None
MH	90:10	0	0	0	None	None	None
MH	90:25	1	1	0	1.0	1.0	1.0
MH	90:90	0	0	0	None	None	None
MT2m	5:5	3	0	0	0.0	None	None
MT2m	10:5	7	3	0	0.42857142857142855	1.0	0.6
MT2m	10:10	0	0	0	None	None	None
MT2m	25:5	9	3	0	0.3333333333333333	1.0	0.5
MT2m	25:10	4	1	0	0.25	1.0	0.4
MT2m	25:25	4	0	0	0.0	None	None
MT2m	90:5	0	0	0	None	None	None
MT2m	90:10	0	0	0	None	None	None
MT2m	90:25	1	0	0	0.0	None	None
MT2m	90:90	0	0	0	None	None	None
MHPm	5:5	3	0	0	0.0	None	None
MHPm	10:5	7	0	0	0.0	None	None
MHPm	10:10	0	0	0	None	None	None
MHPm	25:5	9	0	0	0.0	None	None
MHPm	25:10	4	0	0	0.0	None	None
MHPm	25:25	4	0	0	0.0	None	None
MHPm	90:5	0	0	0	None	None	None
MHPm	90:10	0	0	0	None	None	None
MHPm	90:25	1	0	0	0.0	None	None
MHPm	90:90	0	0	0	None	None	None
M2S2MH	5:5	3	0	0	0.0	None	None
M2S2MH	10:5	7	3	0	0.42857142857142855	1.0	0.6
M2S2MH	10:10	0	0	0	None	None	None
M2S2MH	25:5	9	4	0	0.4444444444444444	1.0	0.6153846153846154
M2S2MH	25:10	4	2	0	0.5	1.0	0.6666666666666666
M2S2MH	25:25	4	3	0	0.75	1.0	0.8571428571428572
M2S2MH	90:5	0	0	0	None	None	None
M2S2MH	90:10	0	0	0	None	None	None
M2S2MH	90:25	1	1	0	1.0	1.0	1.0
M2S2MH	90:90	0	0	0	None	None	None
