tool	TP	FP	Sensitivity	Precision	F1-score	Data	VAF_range
MF	14	2	0.56	0.875	0.6829268292682927	Kim et al.	Total
MT2	13	3	0.52	0.8125	0.6341463414634146	Kim et al.	Total
DM	5	0	0.2	1.0	0.3333333333333333	Kim et al.	Total
HC-p20	10	1	0.4	0.9090909090909091	0.5555555555555556	Kim et al.	Total
HC-p200	10	2	0.4	0.8333333333333334	0.5405405405405405	Kim et al.	Total
MH	2	0	0.08	1.0	0.14814814814814814	Kim et al.	Total
MT2P	19	2	0.76	0.9047619047619048	0.8260869565217391	Kim et al.	Total
STK	17	3	0.68	0.85	0.7555555555555555	Kim et al.	Total
M2S2MH	12	2	0.48	0.8571428571428571	0.6153846153846154	Kim et al.	Total
MF	4	2	0.5714285714285714	0.6666666666666666	0.6153846153846154	Kim et al.	Low VAF
MT2	4	2	0.5714285714285714	0.6666666666666666	0.6153846153846154	Kim et al.	Low VAF
DM	1	0	0.14285714285714285	1.0	0.25	Kim et al.	Low VAF
HC-p20	0	0	0.0	None	None	Kim et al.	Low VAF
HC-p200	0	1	0.0	0.0	0.0	Kim et al.	Low VAF
MH	2	0	0.2857142857142857	1.0	0.4444444444444444	Kim et al.	Low VAF
MT2P	5	1	0.7142857142857143	0.8333333333333334	0.7692307692307694	Kim et al.	Low VAF
STK	4	2	0.5714285714285714	0.6666666666666666	0.6153846153846154	Kim et al.	Low VAF
M2S2MH	2	1	0.2857142857142857	0.6666666666666666	0.4	Kim et al.	Low VAF
MF	6	0	0.6666666666666666	1.0	0.8	Kim et al.	Medium VAF
MT2	6	0	0.6666666666666666	1.0	0.8	Kim et al.	Medium VAF
DM	3	0	0.3333333333333333	1.0	0.5	Kim et al.	Medium VAF
HC-p20	7	0	0.7777777777777778	1.0	0.875	Kim et al.	Medium VAF
HC-p200	7	0	0.7777777777777778	1.0	0.875	Kim et al.	Medium VAF
MH	0	0	0.0	None	None	Kim et al.	Medium VAF
MT2P	9	0	1.0	1.0	1.0	Kim et al.	Medium VAF
STK	7	0	0.7777777777777778	1.0	0.875	Kim et al.	Medium VAF
M2S2MH	7	0	0.7777777777777778	1.0	0.875	Kim et al.	Medium VAF
MF	4	0	0.4444444444444444	1.0	0.6153846153846154	Kim et al.	High VAF
MT2	3	1	0.3333333333333333	0.75	0.46153846153846156	Kim et al.	High VAF
DM	1	0	0.1111111111111111	1.0	0.2	Kim et al.	High VAF
HC-p20	3	1	0.3333333333333333	0.75	0.46153846153846156	Kim et al.	High VAF
HC-p200	3	1	0.3333333333333333	0.75	0.46153846153846156	Kim et al.	High VAF
MH	0	0	0.0	None	None	Kim et al.	High VAF
MT2P	5	1	0.5555555555555556	0.8333333333333334	0.6666666666666666	Kim et al.	High VAF
STK	6	1	0.6666666666666666	0.8571428571428571	0.7499999999999999	Kim et al.	High VAF
M2S2MH	3	1	0.3333333333333333	0.75	0.46153846153846156	Kim et al.	High VAF
