tool	TP	FP	Sensitivity	Precision	F1-score	Data	VAF_range
MF	36	5	0.8372093023255814	0.8780487804878049	0.8571428571428572	Wang et al.	Total
MT2	32	22	0.7441860465116279	0.5925925925925926	0.6597938144329897	Wang et al.	Total
DM	7	3	0.16279069767441862	0.7	0.2641509433962264	Wang et al.	Total
HC-p20	6	31	0.13953488372093023	0.16216216216216217	0.15000000000000002	Wang et al.	Total
HC-p200	6	31	0.13953488372093023	0.16216216216216217	0.15000000000000002	Wang et al.	Total
MH	9	2	0.20930232558139536	0.8181818181818182	0.3333333333333333	Wang et al.	Total
MF	30	5	0.8108108108108109	0.8571428571428571	0.8333333333333334	Wang et al.	Low VAF
MT2	26	9	0.7027027027027027	0.7428571428571429	0.7222222222222222	Wang et al.	Low VAF
DM	7	3	0.1891891891891892	0.7	0.2978723404255319	Wang et al.	Low VAF
HC-p20	0	8	0.0	0.0	0.0	Wang et al.	Low VAF
HC-p200	0	8	0.0	0.0	0.0	Wang et al.	Low VAF
MH	7	2	0.1891891891891892	0.7777777777777778	0.30434782608695654	Wang et al.	Low VAF
MF	4	0	1.0	1.0	1.0	Wang et al.	Medium VAF
MT2	4	2	1.0	0.6666666666666666	0.8	Wang et al.	Medium VAF
DM	0	0	0.0	None	None	Wang et al.	Medium VAF
HC-p20	4	5	1.0	0.4444444444444444	0.6153846153846154	Wang et al.	Medium VAF
HC-p200	4	5	1.0	0.4444444444444444	0.6153846153846154	Wang et al.	Medium VAF
MH	1	0	0.25	1.0	0.4	Wang et al.	Medium VAF
MF	2	0	1.0	1.0	1.0	Wang et al.	High VAF
MT2	2	11	1.0	0.15384615384615385	0.26666666666666666	Wang et al.	High VAF
DM	0	0	0.0	None	None	Wang et al.	High VAF
HC-p20	2	18	1.0	0.1	0.18181818181818182	Wang et al.	High VAF
HC-p200	2	18	1.0	0.1	0.18181818181818182	Wang et al.	High VAF
MH	1	0	0.5	1.0	0.6666666666666666	Wang et al.	High VAF
tool	TP	FP	Sensitivity	Precision	F1-score	Data	VAF_range
MF	73	0	0.6403508771929824	1.0	0.7807486631016043	Breuss et al (2019)	Total
MT2	92	0	0.8070175438596491	1.0	0.8932038834951456	Breuss et al (2019)	Total
DM	69	0	0.6052631578947368	1.0	0.7540983606557377	Breuss et al (2019)	Total
HC-p20	28	0	0.24561403508771928	1.0	0.39436619718309857	Breuss et al (2019)	Total
HC-p200	28	0	0.24561403508771928	1.0	0.39436619718309857	Breuss et al (2019)	Total
MH	23	0	0.20175438596491227	1.0	0.3357664233576642	Breuss et al (2019)	Total
MF	54	0	0.6428571428571429	1.0	0.782608695652174	Breuss et al (2019)	Low VAF
MT2	63	0	0.75	1.0	0.8571428571428572	Breuss et al (2019)	Low VAF
DM	51	0	0.6071428571428571	1.0	0.7555555555555554	Breuss et al (2019)	Low VAF
HC-p20	1	0	0.011904761904761904	1.0	0.023529411764705882	Breuss et al (2019)	Low VAF
HC-p200	1	0	0.011904761904761904	1.0	0.023529411764705882	Breuss et al (2019)	Low VAF
MH	15	0	0.17857142857142858	1.0	0.30303030303030304	Breuss et al (2019)	Low VAF
MF	16	0	0.64	1.0	0.7804878048780488	Breuss et al (2019)	Medium VAF
MT2	24	0	0.96	1.0	0.9795918367346937	Breuss et al (2019)	Medium VAF
DM	14	0	0.56	1.0	0.717948717948718	Breuss et al (2019)	Medium VAF
HC-p20	22	0	0.88	1.0	0.9361702127659574	Breuss et al (2019)	Medium VAF
HC-p200	22	0	0.88	1.0	0.9361702127659574	Breuss et al (2019)	Medium VAF
MH	7	0	0.28	1.0	0.4375	Breuss et al (2019)	Medium VAF
MF	3	0	0.6	1.0	0.7499999999999999	Breuss et al (2019)	High VAF
MT2	5	0	1.0	1.0	1.0	Breuss et al (2019)	High VAF
DM	4	0	0.8	1.0	0.8888888888888888	Breuss et al (2019)	High VAF
HC-p20	5	0	1.0	1.0	1.0	Breuss et al (2019)	High VAF
HC-p200	5	0	1.0	1.0	1.0	Breuss et al (2019)	High VAF
MH	1	0	0.2	1.0	0.3333333333333333	Breuss et al (2019)	High VAF
tool	TP	FP	Sensitivity	Precision	F1-score	Data	VAF_range
MF	74	5	0.6324786324786325	0.9367088607594937	0.7551020408163265	Kim et al.	Total
MT2	100	8	0.8547008547008547	0.9259259259259259	0.8888888888888888	Kim et al.	Total
DM	15	2	0.1282051282051282	0.8823529411764706	0.22388059701492538	Kim et al.	Total
HC-p20	40	2	0.3418803418803419	0.9523809523809523	0.5031446540880503	Kim et al.	Total
HC-p200	45	3	0.38461538461538464	0.9375	0.5454545454545455	Kim et al.	Total
MH	13	2	0.1111111111111111	0.8666666666666667	0.196969696969697	Kim et al.	Total
MF	74	5	0.6324786324786325	0.9367088607594937	0.7551020408163265	Kim et al.	Low VAF
MT2	100	8	0.8547008547008547	0.9259259259259259	0.8888888888888888	Kim et al.	Low VAF
DM	15	2	0.1282051282051282	0.8823529411764706	0.22388059701492538	Kim et al.	Low VAF
HC-p20	40	2	0.3418803418803419	0.9523809523809523	0.5031446540880503	Kim et al.	Low VAF
HC-p200	45	3	0.38461538461538464	0.9375	0.5454545454545455	Kim et al.	Low VAF
MH	13	2	0.1111111111111111	0.8666666666666667	0.196969696969697	Kim et al.	Low VAF
MF	23	0	0.8846153846153846	1.0	0.9387755102040816	Kim et al.	Medium VAF
MT2	26	1	1.0	0.9629629629629629	0.9811320754716982	Kim et al.	Medium VAF
DM	7	0	0.2692307692307692	1.0	0.42424242424242425	Kim et al.	Medium VAF
HC-p20	24	1	0.9230769230769231	0.96	0.9411764705882353	Kim et al.	Medium VAF
HC-p200	26	1	1.0	0.9629629629629629	0.9811320754716982	Kim et al.	Medium VAF
