SAMPLES	M1M2M3_TP	M1M2M3_FP	M1M2_TP	M1M2_FP	M1M3_TP	M1M3_FP	M1_TP	M1_FP	TP_rem_per	FP_rem_per
M1-6.M2-8.M3-17	40	30	1	2	0	5	132	8	2.43902439024	6.25
M1-6.M2-8.M3-15	40	30	1	2	0	5	132	8	2.43902439024	6.25
M1-6.M2-8.M3-11	40	27	1	5	0	2	132	11	2.43902439024	15.625
M1-6.M2-8.M3-12	41	27	0	5	0	6	132	7	0.0	15.625
M1-6.M2-8.M3-13	40	30	1	2	0	7	132	6	2.43902439024	6.25
M1-6.M2-8.M3-4	38	27	3	5	0	0	132	13	7.31707317073	15.625
M1-6.M2-8.M3-8	41	24	0	8	0	5	132	8	0.0	25.0
M1-6.M2-8.M3-9	40	27	1	5	0	5	132	8	2.43902439024	15.625
M1-6.M2-8.M3-1	39	27	2	5	0	1	132	12	4.87804878049	15.625
M1-6.M2-8.M3-6	39	25	2	7	0	0	132	13	4.87804878049	21.875
M1-6.M2-8.M3-14	40	30	1	2	0	5	132	8	2.43902439024	6.25
M1-6.M2-8.M3-16	39	30	2	2	0	6	132	7	4.87804878049	6.25
M1-6.M2-8.M3-2	40	25	1	7	0	6	132	7	2.43902439024	21.875
M1-6.M2-8.M3-18	39	30	2	2	0	6	132	7	4.87804878049	6.25
M1-6.M2-8.M3-3	39	25	2	7	0	6	132	7	4.87804878049	21.875
M1-6.M2-8.M3-7	40	27	1	5	0	1	132	12	2.43902439024	15.625
M1-6.M2-8.M3-10	41	29	0	3	0	7	132	6	0.0	9.375
M1-6.M2-8.M3-5	38	26	3	6	0	7	132	6	7.31707317073	18.75
M1-6.M2-9.M3-17	40	35	0	1	0	0	133	9	0.0	2.77777777778
M1-6.M2-9.M3-15	39	35	1	1	1	0	132	9	2.5	2.77777777778
M1-6.M2-9.M3-11	39	28	1	8	1	1	132	8	2.5	22.2222222222
M1-6.M2-9.M3-12	40	33	0	3	1	0	132	9	0.0	8.33333333333
M1-6.M2-9.M3-13	39	36	1	0	1	1	132	8	2.5	0.0
M1-6.M2-9.M3-4	37	26	3	10	1	1	132	8	7.5	27.7777777778
M1-6.M2-9.M3-8	40	28	0	8	1	1	132	8	0.0	22.2222222222
M1-6.M2-9.M3-9	39	32	1	4	1	0	132	9	2.5	11.1111111111
M1-6.M2-9.M3-1	38	28	2	8	1	0	132	9	5.0	22.2222222222
M1-6.M2-9.M3-6	38	25	2	11	1	0	132	9	5.0	30.5555555556
M1-6.M2-9.M3-14	40	35	0	1	0	0	133	9	0.0	2.77777777778
M1-6.M2-9.M3-16	39	35	1	1	0	1	133	8	2.5	2.77777777778
M1-6.M2-9.M3-2	39	31	1	5	1	0	132	9	2.5	13.8888888889
